Topic 00:itcsm,2583.986362691012;asset,1861.3447962635098;itc,1728.0428380931187;sma,741.9694829816804;agent,602.3285231685516;file,545.884206045432;management,504.65368620285614;back,476.61503138430396;rights,466.96557128336076;ismp,451.9992040348674;meteorcomm,446.2782043647037;reserved,433.8306976988411;llc,418.4532830526136;support,414.673643703026;office,403.87756430211147;systems,402.7974121916925;key,399.56931091100046;event,374.6718425075061;gateway,362.4243868008271;security,359.9621616774786
Topic 11:section,1717.2082256032518;line,1658.194137818995;implementation,1376.3662673360727;plan,1375.4905162255475;north,1071.3329670141266;redacted,1070.0730083888893;main,1064.2544899853842;risk,987.6467320765047;clean,873.3416453806478;wayside,828.8236659426082;branch,816.6364819217886;metro,756.4759387594152;cab,721.7664276357374;station,683.4572386518514;metra,679.6204831736652;interlocking,664.4885166034314;mtea,657.7898191409714;territory,647.7160075336267;trains,645.3971730645844;rev,641.4368330125052
Topic 12:version,1379.5091915358034;number,1240.726072357066;length,1228.7144239433833;milepost,1223.5609269066151;numeric,1196.671496632712;scac,1049.8686596699451;office,1014.7364752475665;end,1005.5674044557256;subdivision,955.6423061264286;district,876.5088535123147;authority,836.6677166294218;description,771.0689515453525;request,739.3911985633408;file,706.9049409197261;notes,697.2946357829713;crc,693.3785429012657;field,675.6325177393493;characters,661.4963325446984;size,609.9534842084214;bulletin,601.7639983062317
Topic 13:line,2930.7527453225803;risk,2050.881207202172;transit,1476.6871568995539;implementation,1438.990401978299;section,1393.9597269238054;plan,1310.0714581364377;required,1135.6568259654284;interoperability,1030.0524468291353;deployment,1004.8469768894449;etms,983.9284822408013;wayside,964.7289361811074;equipped,941.1978526266113;installation,886.2440237430742;main,877.2102162757326;railway,829.0365154927271;freight,826.356056728411;table,792.1813329183155;tenant,789.8089000642452;passenger,770.3202994540933;ptcip,726.7040376874493
Topic 14:time,1276.5033506634468;emp,1225.3637458039566;class,1163.7112922352567;node,1048.9750987220145;link,993.9205242584515;protocol,991.1572933511725;wiu,823.6438084845627;header,765.6388444365798;messages,729.5398016306551;layer,623.1888660349348;messaging,617.6474884579573;field,529.7073897535126;version,512.913540848743;address,512.4084900441503;wayside,475.74523607767617;application,454.33535222990645;number,448.3553811994724;tcp,438.59441219999445;table,422.94513843545633;error,414.3341628241128
Topic 15:col,1090.5604115531698;total,1057.2580463841632;sch,990.0666936171808;freight,655.8456008694159;line,491.9461101786316;miles,457.7612170156697;service,448.991906534107;products,426.892781937742;railroads,330.21613284978724;net,311.23868195265044;revenue,308.0870383081121;class,300.76521838337806;flat,292.935328323892;income,286.85007637828465;item,264.9013452038523;road,257.40176792081803;analysis,254.52758868329636;ton,229.47856093833636;cash,222.95847120246717;operations,222.08064105891884
Topic 16:railway,1259.3192616967417;year,1089.949026199091;railroads,1077.5184093326611;freight,1045.078778908345;class,998.3501115154113;miles,791.1002448291207;revenue,786.8851347152436;total,702.4019933314459;ten,572.3835379699876;trends,562.0010841292834;statistics,498.68598649981436;ton,491.3894707255256;transportation,460.8157070642617;operating,423.47514902833495;car,401.25174226373576;net,400.7876262121773;rail,384.12953193833965;southern,358.46554073580563;road,357.2690322777479;cars,347.9937610305716
Topic 17:tag,1693.7141053786681;code,827.4741027534953;tags,535.6424718810044;type,526.298312035535;aar,440.4959412139038;field,391.26352753270555;recommended,369.28674630301197;appendix,352.3811731116797;standards,348.88795488076494;bits,329.51097414554505;electronics,329.1239460236807;manual,328.28843474591855;practices,306.98323704215676;iii,300.9070076267092;number,297.6328993018981;table,284.7857553095641;format,271.08361709130475;platform,269.65387882224525;bit,248.50055846332364;decimal,248.33416420712447
Topic 18:movement,2704.850998503355;limits,2375.6357788145815;switch,2332.4059219612654;employee,1952.315000377325;rules,1887.5666455412925;engine,1794.6172417969055;trains,1761.2201932300006;signals,1695.652229739644;operating,1626.9900516932903;employees,1599.7864934346228;stop,1591.1524600807152;authority,1535.2272489518707;rule,1465.1566041578058;main,1464.5457911856865;protection,1409.424246594563;block,1403.972456987607;cars,1398.3075061844029;dispatcher,1381.2014932581221;crew,1364.0569992483502;switches,1339.3558243125035
Topic 19:etms,6111.663459310233;office,1542.4175191359018;authority,1509.7935852314752;wayside,1416.1162974814538;movement,1401.599082063061;hazard,1381.6821898766152;enforcement,1357.5520822387693;limits,1223.786975657968;operations,1082.514241174742;operating,1032.9908972938792;version,939.446284183442;information,938.8245668486326;operation,890.5994368426682;cab,788.4636007152451;management,778.5190783956764;application,776.363372994846;time,775.9279368441831;interface,763.8847393126099;territory,735.8643975211946;safety,721.9469054499828
Topic 20:hbd,2558.984535940615;rre,1076.999834968858;tag,631.399471090936;round,627.006435022578;number,591.8443498764796;ceq,580.9996066343551;status,470.9032969478297;axle,445.6433148506196;sha,424.03967385971646;code,405.23743574074285;aar,378.7909977943591;standards,370.67393771922906;detector,346.8981143261425;standard,342.5827230564913;field,326.2717395764115;sequence,324.8274867369937;manual,320.0029045737875;recommended,319.83934232921183;wheel,316.9011326383285;practices,314.7775078091852
Topic 21:bit,1240.6309952203899;packet,1073.521407623106;aar,926.3509423614702;rear,921.5348889318533;device,910.2838834145671;unit,905.9416785418204;manual,900.3048715678586;recommended,857.8084444247975;standards,853.3297441226606;bits,841.8949855408903;practices,833.3326338435712;communications,826.5594838104812;heu,771.5164339118936;code,710.1750655974147;type,633.546376993941;appendix,626.8577871887496;information,625.5009371939468;address,575.1574711016947;frame,554.8300005325718;block,549.9750071146218
Topic 22:air,2246.887107939982;brakes,1534.284747567911;pipe,1483.5730266262767;pressure,1425.0596800622143;valve,1315.9090077511305;position,1281.7858220652133;car,1102.3184300202129;cut,1060.3658596535272;locomotives,1041.74152209391;service,908.6322452340538;release,881.350849221873;application,855.9092143099717;unit,843.7164033166064;automatic,803.1197731489217;dynamic,801.1825326143523;cars,749.3823288733367;switch,711.4198833377553;engine,692.3786853002277;psi,685.4668402069146;emergency,683.1251823525595
Topic 23:eic,7966.017465153319;prt,7339.567106829692;application,2706.2861272881205;mwp,2642.8752778417447;request,2217.955032584005;swr,2172.9996475908492;user,1891.4235981004483;office,1257.5466736238077;syr,1181.9995643452683;srs,1177.4693233737667;time,840.7174351405738;response,827.6890643713579;display,812.8385470456641;observe,638.6070806399338;server,618.5992209988924;received,613.1251697675365;instruction,596.7853065575816;state,572.182883013149;status,550.5703039360966;dataset,512.1397164680092
Topic 24:safety,1669.3403885600667;testing,1628.0761816581835;software,1299.364249044388;case,1193.7030292167988;requirements,1140.7003312082188;passed,886.5019499897381;ttci,873.8051668576496;build,735.7172656047654;plan,673.9713120859292;level,659.3062352914205;results,626.2339371607036;management,623.6931628541464;project,614.3032235965109;design,608.924243039615;document,591.3566324480013;development,574.1320368573263;critical,544.2273394534668;tests,543.8859842853051;configuration,504.4813272662967;verify,474.19421747224607
